""	"diff"	"lwr"	"upr"	"p adj"
"GAF-BF"	618.666666666667	-306.94625959358	1544.27959292691	0.848555461638408
"GPF-BF"	-38.9999999999991	-964.612926260246	886.612926260248	0.999999100062557
"GTF-BF"	-50.9999999999991	-976.612926260246	874.612926260248	0.999999100062557
"ZF-BF"	364.000000000001	-561.612926260246	1289.61292626025	0.999999100062557
"GPF-GAF"	-657.666666666667	-1583.27959292691	267.946259593581	0.848555461638408
"GTF-GAF"	-669.666666666667	-1595.27959292691	255.946259593581	0.848555461638408
"ZF-GAF"	-254.666666666667	-1180.27959292691	670.946259593581	0.999999100062557
"GTF-GPF"	-12	-937.612926260247	913.612926260247	0.999999100062557
"ZF-GPF"	403	-522.612926260247	1328.61292626025	0.999999100062557
"ZF-GTF"	415	-510.612926260247	1340.61292626025	0.999999100062557
